Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"536,800",
SURVEY,2016,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"512,700",
SURVEY,2015,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"476,300",
SURVEY,2014,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"591,300",
SURVEY,2013,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"787,700",
SURVEY,2012,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"799,500",
SURVEY,2011,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"882,300",
SURVEY,2010,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"911,700",
SURVEY,2009,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"979,000",
SURVEY,2008,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"992,600",
SURVEY,2007,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"794,900",
SURVEY,2006,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"748,100",
SURVEY,2005,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"772,000",
SURVEY,2004,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"879,400",
SURVEY,2003,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,038,800",
SURVEY,2002,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,082,400",
SURVEY,2001,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,046,700",
SURVEY,2000,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,171,600",
SURVEY,1999,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,321,900",
SURVEY,1998,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,500,800",
SURVEY,1997,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,619,000",
SURVEY,1996,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,815,200",
SURVEY,1995,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,477,200",
SURVEY,1994,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,315,100",
SURVEY,1993,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,241,600",
SURVEY,1992,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,420,200",
SURVEY,1991,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,483,600",
SURVEY,1990,YEAR,,NATIONAL,US TOTAL,,,,,,,,0,,CATTLE,"CATTLE, CALVES - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,837,600",
