Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2018,FIRST OF JAN,,STATE,ALABAMA,1,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"365,000",
SURVEY,2018,FIRST OF JAN,,STATE,ALASKA,2,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"3,500",
SURVEY,2018,FIRST OF JAN,,STATE,ARIZONA,4,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"145,000",
SURVEY,2018,FIRST OF JAN,,STATE,ARKANSAS,5,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"425,000",
SURVEY,2018,FIRST OF JAN,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,020,000",
SURVEY,2018,FIRST OF JAN,,STATE,COLORADO,8,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"180,000",
SURVEY,2018,FIRST OF JAN,,STATE,CONNECTICUT,9,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"9,500",
SURVEY,2018,FIRST OF JAN,,STATE,DELAWARE,10,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"4,000",
SURVEY,2018,FIRST OF JAN,,STATE,FLORIDA,12,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"360,000",
SURVEY,2018,FIRST OF JAN,,STATE,GEORGIA,13,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"275,000",
SURVEY,2018,FIRST OF JAN,,STATE,HAWAII,15,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"34,000",
SURVEY,2018,FIRST OF JAN,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"310,000",
SURVEY,2018,FIRST OF JAN,,STATE,ILLINOIS,17,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"225,000",
SURVEY,2018,FIRST OF JAN,,STATE,INDIANA,18,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"185,000",
SURVEY,2018,FIRST OF JAN,,STATE,IOWA,19,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"520,000",
SURVEY,2018,FIRST OF JAN,,STATE,KANSAS,20,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"615,000",
SURVEY,2018,FIRST OF JAN,,STATE,KENTUCKY,21,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"500,000",
SURVEY,2018,FIRST OF JAN,,STATE,LOUISIANA,22,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"167,000",
SURVEY,2018,FIRST OF JAN,,STATE,MAINE,23,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"14,500",
SURVEY,2018,FIRST OF JAN,,STATE,MARYLAND,24,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"29,000",
SURVEY,2018,FIRST OF JAN,,STATE,MASSACHUSETTS,25,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"7,000",
SURVEY,2018,FIRST OF JAN,,STATE,MICHIGAN,26,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"205,000",
SURVEY,2018,FIRST OF JAN,,STATE,MINNESOTA,27,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"455,000",
SURVEY,2018,FIRST OF JAN,,STATE,MISSISSIPPI,28,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"195,000",
SURVEY,2018,FIRST OF JAN,,STATE,MISSOURI,29,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"1,070,000",
SURVEY,2018,FIRST OF JAN,,STATE,MONTANA,30,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"105,000",
SURVEY,2018,FIRST OF JAN,,STATE,NEBRASKA,31,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"330,000",
SURVEY,2018,FIRST OF JAN,,STATE,NEVADA,32,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"56,000",
SURVEY,2018,FIRST OF JAN,,STATE,NEW HAMPSHIRE,33,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"7,500",
SURVEY,2018,FIRST OF JAN,,STATE,NEW JERSEY,34,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"4,400",
SURVEY,2018,FIRST OF JAN,,STATE,NEW MEXICO,35,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"195,000",
SURVEY,2018,FIRST OF JAN,,STATE,NEW YORK,36,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"240,000",
SURVEY,2018,FIRST OF JAN,,STATE,NORTH CAROLINA,37,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"220,000",
SURVEY,2018,FIRST OF JAN,,STATE,NORTH DAKOTA,38,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"110,000",
SURVEY,2018,FIRST OF JAN,,STATE,OHIO,39,,,,,,,0,,CATTLE,"CATTLE, CALVES - INVENTORY",TOTAL,NOT SPECIFIED,"250,000",
