Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"6,200",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,800,
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"561,700",
SURVEY,2017,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"5,500",
SURVEY,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,336,300",
SURVEY,2017,YEAR,,STATE,COLORADO,8,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"2,523,000",
SURVEY,2017,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"44,000",
SURVEY,2017,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,YEAR,,STATE,HAWAII,15,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"10,100",
SURVEY,2017,YEAR,,STATE,IDAHO,16,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"181,800",
SURVEY,2017,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,YEAR,,STATE,INDIANA,18,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"33,600",
SURVEY,2017,YEAR,,STATE,IOWA,19,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,YEAR,,STATE,KANSAS,20,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"6,546,900",
SURVEY,2017,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"18,000",
SURVEY,2017,YEAR,,STATE,LOUISIANA,22,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"5,500",
SURVEY,2017,YEAR,,STATE,MARYLAND,24,,,,,,,0,,CATTLE,"CATTLE, GE 500 LBS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"38,500",
