Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2018,FIRST OF MAR,,STATE,COLORADO,8,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"770,000",
SURVEY,2018,FIRST OF MAR,,STATE,ILLINOIS,17,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"5,300,000",
SURVEY,2018,FIRST OF MAR,,STATE,INDIANA,18,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"4,050,000",
SURVEY,2018,FIRST OF MAR,,STATE,IOWA,19,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"22,500,000",
SURVEY,2018,FIRST OF MAR,,STATE,KANSAS,20,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"2,050,000",
SURVEY,2018,FIRST OF MAR,,STATE,MICHIGAN,26,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"1,200,000",
SURVEY,2018,FIRST OF MAR,,STATE,MINNESOTA,27,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"8,500,000",
SURVEY,2018,FIRST OF MAR,,STATE,MISSOURI,29,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"3,450,000",
SURVEY,2018,FIRST OF MAR,,STATE,NEBRASKA,31,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"3,450,000",
SURVEY,2018,FIRST OF MAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"8,900,000",
SURVEY,2018,FIRST OF MAR,,STATE,OHIO,39,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"2,900,000",
SURVEY,2018,FIRST OF MAR,,STATE,OKLAHOMA,40,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"2,170,000",
SURVEY,2018,FIRST OF MAR,,STATE,OTHER STATES,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"3,138,000",
SURVEY,2018,FIRST OF MAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"1,200,000",
SURVEY,2018,FIRST OF MAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"1,660,000",
SURVEY,2018,FIRST OF MAR,,STATE,TEXAS,48,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"1,100,000",
SURVEY,2018,FIRST OF MAR,,STATE,UTAH,49,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"495,000",
SURVEY,2018,FIRST OF JUN,,STATE,COLORADO,8,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"760,000",
SURVEY,2018,FIRST OF JUN,,STATE,ILLINOIS,17,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"5,350,000",
