Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"73,445,000",
SURVEY,2016,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"71,545,000",
SURVEY,2015,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"68,919,300",
SURVEY,2014,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"67,776,300",
SURVEY,2013,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"64,774,600",
SURVEY,2012,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"66,223,800",
SURVEY,2011,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"66,258,800",
SURVEY,2010,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"64,725,000",
SURVEY,2009,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"64,687,200",
SURVEY,2008,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"67,048,300",
SURVEY,2007,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"68,176,800",
SURVEY,2006,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"62,515,800",
SURVEY,2005,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"61,462,800",
SURVEY,2004,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"60,982,200",
SURVEY,2003,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"60,453,200",
SURVEY,2002,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"59,554,200",
SURVEY,2001,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"59,721,600",
SURVEY,2000,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"59,110,300",
SURVEY,1999,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"59,335,300",
SURVEY,1998,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"62,203,500",
SURVEY,1997,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"61,157,700",
SURVEY,1996,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"56,123,800",
SURVEY,1995,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"58,200,500",
SURVEY,1994,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"59,737,500",
SURVEY,1993,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"57,939,600",
SURVEY,1992,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"58,202,000",
SURVEY,1991,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"57,649,000",
SURVEY,1990,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"54,416,000",
SURVEY,1989,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"53,788,000",
SURVEY,1988,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"55,466,000",
SURVEY,1987,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"54,384,000",
SURVEY,1986,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"51,001,400",
SURVEY,1985,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"52,313,800",
SURVEY,1984,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"54,072,700",
SURVEY,1983,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"56,693,700",
SURVEY,1982,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"54,533,500",
SURVEY,1981,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"58,697,800",
SURVEY,1980,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"64,462,000",
SURVEY,1979,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"67,318,400",
SURVEY,1978,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"60,356,000",
SURVEY,1977,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"56,539,000",
SURVEY,1976,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"54,934,000",
SURVEY,1975,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"49,267,000",
SURVEY,1974,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"54,693,000",
SURVEY,1973,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"60,614,000",
SURVEY,1972,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"59,017,000",
SURVEY,1971,FIRST OF DEC,,NATIONAL,US TOTAL,,,,,,,,0,,HOGS,HOGS - INVENTORY,TOTAL,NOT SPECIFIED,"62,412,000",
