Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"36,300",
SURVEY,2017,YEAR,,STATE,ALASKA,2,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"2,000",
SURVEY,2017,YEAR,,STATE,ARIZONA,4,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"10,100",
SURVEY,2017,YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"2,389,800",
SURVEY,2017,YEAR,,STATE,COLORADO,8,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"21,100",
SURVEY,2017,YEAR,,STATE,FLORIDA,12,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"58,400",
SURVEY,2017,YEAR,,STATE,GEORGIA,13,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"67,200",
SURVEY,2017,YEAR,,STATE,HAWAII,15,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"9,100",
SURVEY,2017,YEAR,,STATE,IDAHO,16,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"164,400",
SURVEY,2017,YEAR,,STATE,ILLINOIS,17,,,,,,,0,,HOGS,"HOGS, SLAUGHTER, COMMERCIAL - SLAUGHTERED, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"12,220,400",
