Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2018,FIRST OF MAR,,STATE,COLORADO,8,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"615,000",
SURVEY,2018,FIRST OF MAR,,STATE,ILLINOIS,17,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"4,750,000",
SURVEY,2018,FIRST OF MAR,,STATE,INDIANA,18,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"3,790,000",
SURVEY,2018,FIRST OF MAR,,STATE,IOWA,19,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"21,480,000",
SURVEY,2018,FIRST OF MAR,,STATE,KANSAS,20,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"1,890,000",
SURVEY,2018,FIRST OF MAR,,STATE,MICHIGAN,26,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"1,080,000",
SURVEY,2018,FIRST OF MAR,,STATE,MINNESOTA,27,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"7,930,000",
SURVEY,2018,FIRST OF MAR,,STATE,MISSOURI,29,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"2,995,000",
SURVEY,2018,FIRST OF MAR,,STATE,NEBRASKA,31,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"3,030,000",
SURVEY,2018,FIRST OF MAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"8,000,000",
SURVEY,2018,FIRST OF MAR,,STATE,OHIO,39,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"2,710,000",
SURVEY,2018,FIRST OF MAR,,STATE,OKLAHOMA,40,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"1,725,000",
SURVEY,2018,FIRST OF MAR,,STATE,OTHER STATES,,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"2,738,000",
SURVEY,2018,FIRST OF MAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"1,090,000",
SURVEY,2018,FIRST OF MAR,,STATE,SOUTH DAKOTA,46,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"1,425,000",
SURVEY,2018,FIRST OF MAR,,STATE,TEXAS,48,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"955,000",
SURVEY,2018,FIRST OF MAR,,STATE,UTAH,49,,,,,,,0,,HOGS,"HOGS, MARKET - INVENTORY",TOTAL,NOT SPECIFIED,"420,000",
