Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,YEAR,,STATE,ALABAMA,1,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,095,400,000",
SURVEY,2017,YEAR,,STATE,ARKANSAS,5,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,059,000,000",
SURVEY,2017,YEAR,,STATE,DELAWARE,10,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"259,800,000",
SURVEY,2017,YEAR,,STATE,FLORIDA,12,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"65,200,000",
SURVEY,2017,YEAR,,STATE,GEORGIA,13,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"1,363,400,000",
SURVEY,2017,YEAR,,STATE,KENTUCKY,21,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"295,800,000",
SURVEY,2017,YEAR,,STATE,MARYLAND,24,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"306,700,000",
SURVEY,2017,YEAR,,STATE,MINNESOTA,27,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"59,700,000",
SURVEY,2017,YEAR,,STATE,MISSISSIPPI,28,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"741,100,000",
SURVEY,2017,YEAR,,STATE,MISSOURI,29,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"291,100,000",
SURVEY,2017,YEAR,,STATE,NORTH CAROLINA,37,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"830,800,000",
SURVEY,2017,YEAR,,STATE,OHIO,39,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"99,300,000",
SURVEY,2017,YEAR,,STATE,OKLAHOMA,40,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"204,500,000",
SURVEY,2017,YEAR,,STATE,OTHER STATES,,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"572,900,000",
SURVEY,2017,YEAR,,STATE,PENNSYLVANIA,42,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"185,200,000",
SURVEY,2017,YEAR,,STATE,SOUTH CAROLINA,45,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"243,100,000",
SURVEY,2017,YEAR,,STATE,TENNESSEE,47,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"171,500,000",
SURVEY,2017,YEAR,,STATE,TEXAS,48,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"651,200,000",
SURVEY,2017,YEAR,,STATE,VIRGINIA,51,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"277,400,000",
SURVEY,2017,YEAR,,STATE,WEST VIRGINIA,54,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"86,100,000",
SURVEY,2017,YEAR,,STATE,WISCONSIN,55,,,,,,,0,,CHICKENS,"CHICKENS, BROILERS - PRODUCTION, MEASURED IN HEAD",TOTAL,NOT SPECIFIED,"53,800,000",
