Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),27,20.3
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (100 TO 399 HEAD),1,47.3
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,AUTAUGA,1,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (50 TO 99 HEAD),2,42.4
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),5,20.3
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,"INVENTORY: (10,000 TO 19,999 HEAD)",5,59.4
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,BULLOCK,11,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (50 TO 99 HEAD),4,42.4
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,DALLAS,47,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),13,20.3
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),57,20.3
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (100 TO 399 HEAD),1,47.3
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,ELMORE,51,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (50 TO 99 HEAD),12,42.4
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),29,20.3
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,GREENE,63,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (50 TO 99 HEAD),2,42.4
CENSUS,2012,END OF DEC,,COUNTY,ALABAMA,1,BLACK BELT,40,HALE,65,,,0,,CHICKENS,"CHICKENS, LAYERS - OPERATIONS WITH INVENTORY",INVENTORY,INVENTORY: (1 TO 49 HEAD),24,20.3
