Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
SURVEY,2017,MARKETING YEAR,,STATE,ALABAMA,1,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED,"34,208,300",
SURVEY,2017,MARKETING YEAR,,STATE,ARKANSAS,5,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED,"99,475,200",
SURVEY,2017,MARKETING YEAR,,STATE,CALIFORNIA,6,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,MARKETING YEAR,,STATE,COLORADO,8,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,MARKETING YEAR,,STATE,FLORIDA,12,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED,"170,150,100",
SURVEY,2017,MARKETING YEAR,,STATE,GEORGIA,13,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED,"227,208,400",
SURVEY,2017,MARKETING YEAR,,STATE,ILLINOIS,17,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED,"118,725,100",
SURVEY,2017,MARKETING YEAR,,STATE,INDIANA,18,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED,"782,608,500",
SURVEY,2017,MARKETING YEAR,,STATE,IOWA,19,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED,"1,313,150,200",
SURVEY,2017,MARKETING YEAR,,STATE,KENTUCKY,21,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,MARKETING YEAR,,STATE,LOUISIANA,22,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,MARKETING YEAR,,STATE,MARYLAND,24,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED,"68,283,700",
SURVEY,2017,MARKETING YEAR,,STATE,MASSACHUSETTS,25,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,MARKETING YEAR,,STATE,MICHIGAN,26,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED, (D),
SURVEY,2017,MARKETING YEAR,,STATE,MINNESOTA,27,,,,,,,0,,EGGS,"EGGS, TABLE - PRODUCTION, MEASURED IN DOZEN",TOTAL,NOT SPECIFIED,"251,933,300",
