"date","Strike","Close"
2015-11-02,"350",26.875
2015-11-02,"360",17.75
2015-11-02,"370",10.25
2015-11-02,"375",7.25
2015-11-02,"380",4.875
2015-11-02,"385",3.125
2015-11-02,"390",2.125
2015-11-02,"395",1.375
2015-11-02,"400",0.875
2015-11-02,"405",0.5
2015-11-02,"410",0.375
2015-11-02,"415",0.25
2015-11-02,"420",0.125
2015-11-02,"425",0.125
2015-11-02,"430",0.125
2015-11-02,"450",0.125
2015-11-02,"480",0.125
NA,"350",31
2015-10-29,"360",21.125
2015-10-29,"365",16.875
NA,"370",14.375
NA,"375",11.5
NA,"380",7.875
NA,"385",5.625
NA,"390",3.625
NA,"395",2.625
NA,"400",1.625
NA,"405",1.25
NA,"410",0.75
NA,"415",0.375
NA,"420",0.375
NA,"425",0.25
2015-10-29,"430",0.125
NA,"435",0.125
NA,"440",0.25
NA,"450",0.125
NA,"460",0.125
NA,"480",0.125
NA,"490",0.125
2015-10-29,"500",0.125
NA,"600",0.125
2015-10-29,"370",13.125
2015-10-29,"375",9.75
2015-10-29,"380",7
2015-10-29,"385",4.875
2015-10-29,"390",3.375
2015-10-29,"395",2.25
2015-10-29,"400",1.5
2015-10-29,"405",1
2015-10-29,"410",0.625
2015-10-29,"415",0.375
2015-10-29,"420",0.25
2015-10-29,"425",0.25
2015-10-29,"440",0.125
2015-10-29,"450",0.125
2015-10-29,"455",0.125
2015-10-29,"460",0.125
2015-10-29,"480",0.125
2015-10-28,"360",17.875
2015-10-28,"365",14
2015-10-28,"370",10.625
2015-10-28,"375",7.875
2015-10-28,"380",5.5
2015-10-28,"385",3.875
2015-10-28,"390",2.625
2015-10-28,"395",1.75
2015-10-28,"400",1.25
2015-10-28,"405",0.875
2015-10-28,"410",0.5
2015-10-28,"420",0.25
2015-10-28,"425",0.125
2015-10-28,"430",0.125
2015-10-28,"440",0.125
2015-10-28,"500",0.125
2015-10-27,"365",17.375
2015-10-27,"370",13.75
2015-10-27,"375",10.5
2015-10-27,"380",7.75
2015-10-27,"385",5.625
2015-10-27,"390",4
2015-10-27,"395",2.75
2015-10-27,"400",1.875
2015-10-27,"405",1.25
2015-10-27,"410",0.875
2015-10-27,"415",0.625
2015-10-27,"420",0.5
2015-10-27,"425",0.375
2015-10-27,"430",0.25
2015-10-27,"435",0.125
2015-10-27,"440",0.125
2015-10-27,"445",0.125
2015-10-27,"450",0.125
2015-10-27,"455",0.125
2015-10-27,"460",0.125
2015-10-27,"480",0.125
2015-10-27,"500",0.125
2015-10-26,"360",25.625
2015-10-26,"370",17.25
2015-10-26,"375",13.75
2015-10-26,"380",10.5
2015-10-26,"385",7.875
2015-10-26,"390",5.75
